ID site,DD MMM YYYY,HH:MM:SS,date,Temperature,Conductivity,PAR,TimeH,TimeM,TimeS,Scan,Salinity,Depth,Sigma-é00,Density
5,2024-09-12,"09:49:19,000",2024-09-12 09:49:19.000,"16,4949","44,624674","4,31E+02","0,1285","7,7104","462,625",1852,"35,2021","1,002","25,7886","1025,793"
5,2024-09-12,"09:49:19,000",2024-09-12 09:49:19.500,"16,4949","44,624899","4,25E+02","0,12865","7,7188","463,125",1854,"35,2023","0,988","25,7888","1025,7931"
5,2024-09-12,"09:49:20,000",2024-09-12 09:49:20.000,"16,4952","44,625753","4,20E+02","0,12878","7,7271","463,625",1856,"35,2028","0,97","25,7891","1025,7933"
5,2024-09-12,"09:49:20,000",2024-09-12 09:49:20.500,"16,4961","44,626577","4,09E+02","0,12893","7,7354","464,125",1858,"35,2028","0,954","25,7889","1025,7931"
5,2024-09-12,"09:49:21,000",2024-09-12 09:49:21.000,"16,4968","44,626478","4,22E+02","0,12906","7,7438","464,625",1860,"35,2021","0,948","25,7881","1025,7923"
5,2024-09-12,"09:49:21,000",2024-09-12 09:49:21.500,"16,4967","44,625062","4,18E+02","0,12921","7,7521","465,125",1862,"35,201","0,951","25,7873","1025,7915"
5,2024-09-12,"09:49:22,000",2024-09-12 09:49:22.000,"16,4954","44,622228","4,23E+02","0,12934","7,7604","465,625",1864,"35,1995","0,962","25,7865","1025,7907"
5,2024-09-12,"09:49:22,000",2024-09-12 09:49:22.500,"16,493","44,619127","4,28E+02","0,12948","7,7688","466,125",1866,"35,1989","0,974","25,7866","1025,7908"
5,2024-09-12,"09:49:23,000",2024-09-12 09:49:23.000,"16,4905","44,617839","4,46E+02","0,12961","7,7771","466,625",1868,"35,2","0,981","25,788","1025,7923"
5,2024-09-12,"09:49:23,000",2024-09-12 09:49:23.500,"16,489","44,617738","4,42E+02","0,12976","7,7854","467,125",1870,"35,2011","0,983","25,7892","1025,7935"
5,2024-09-12,"09:49:24,000",2024-09-12 09:49:24.000,"16,4885","44,617402","4,41E+02","0,12989","7,7937","467,625",1872,"35,2014","0,982","25,7895","1025,7939"
5,2024-09-12,"09:49:24,000",2024-09-12 09:49:24.500,"16,4881","44,617226","4,50E+02","0,13004","7,8021","468,125",1874,"35,2015","0,978","25,7897","1025,794"
5,2024-09-12,"09:49:25,000",2024-09-12 09:49:25.000,"16,4882","44,61827","4,54E+02","0,13017","7,8104","468,625",1876,"35,2023","0,97","25,7904","1025,7946"
5,2024-09-12,"09:49:25,000",2024-09-12 09:49:25.500,"16,4892","44,619988","4,57E+02","0,13032","7,8187","469,125",1878,"35,2031","0,961","25,7906","1025,7949"
